delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.935176,0.936641,0.935870
1.000000,0.968191,0.968837,0.969237
2.000000,0.988334,0.987818,0.988175
3.000000,0.997426,0.997079,0.997129
4.000000,0.999937,0.999847,0.999733
5.000000,0.999950,0.999885,0.999784
6.000000,0.999962,0.999911,0.999835
7.000000,0.999975,0.999923,0.999873
8.000000,0.999987,0.999923,0.999873
9.000000,0.999987,0.999936,0.999873
10.000000,0.999987,0.999936,0.999886
11.000000,0.999987,0.999949,0.999886
12.000000,0.999987,0.999949,0.999911
13.000000,0.999987,0.999962,0.999911
14.000000,0.999987,0.999962,0.999911
15.000000,0.999987,0.999962,0.999911
16.000000,0.999987,0.999962,0.999911
17.000000,0.999987,0.999962,0.999911
18.000000,0.999987,0.999962,0.999924
19.000000,0.999987,0.999962,0.999924
20.000000,0.999987,0.999962,0.999924
